1: { 377, 83, 117, 348, 419, 627, 5, 829, 443, 336 }
2: { 432, 573, 132, 275, 394, 176, 104, 663, 233, 261 }
3: { 174, 236, 243, 881, 798, 622, 363, 303, 853, 114 }
4: { 478, 532, 940, 991, 586, 420, 619, 39, 705, 329 }
5: { 299, 287, 117, 59, 895, 336, 254, 185, 443, 610 }
6: { 289, 279, 964, 68, 945, 963, 661, 514, 408, 763 }
7: { 647, 92, 302, 402, 270, 911, 658, 769, 159, 186 }
8: { 545, 724, 827, 459, 103, 433, 168, 230, 999, 718 }
9: { 215, 80, 590, 744, 81, 674, 888, 50, 583, 409 }
10: { 70, 277, 963, 569, 90, 408, 173, 964, 260, 582 }
11: { 770, 482, 361, 850, 268, 23, 611, 166, 210, 462 }
12: { 880, 363, 688, 196, 152, 114, 881, 824, 622, 605 }
13: { 290, 592, 16, 105, 359, 947, 226, 954, 399, 829 }
14: { 942, 172, 235, 805, 490, 110, 494, 422, 664, 474 }
15: { 520, 849, 193, 180, 732, 796, 291, 37, 833, 503 }
16: { 105, 290, 13, 333, 592, 359, 399, 953, 947, 542 }
17: { 242, 210, 260, 462, 188, 361, 569, 582, 770, 11 }
18: { 667, 733, 495, 572, 458, 101, 851, 567, 973, 353 }
19: { 915, 913, 78, 992, 297, 710, 231, 266, 317, 776 }
20: { 34, 718, 355, 404, 686, 715, 944, 551, 613, 892 }
21: { 30, 824, 234, 692, 543, 989, 387, 100, 880, 190 }
22: { 969, 430, 398, 111, 797, 224, 618, 935, 38, 197 }
23: { 850, 268, 482, 11, 535, 770, 611, 166, 170, 361 }
24: { 594, 554, 497, 131, 685, 298, 332, 950, 631, 767 }
25: { 965, 893, 825, 552, 345, 785, 474, 228, 691, 286 }
26: { 615, 162, 845, 296, 747, 33, 448, 414, 966, 891 }
27: { 129, 912, 401, 529, 155, 356, 194, 119, 292, 556 }
28: { 264, 856, 783, 799, 826, 108, 281, 434, 214, 385 }
29: { 905, 118, 539, 936, 711, 434, 826, 799, 814, 148 }
30: { 387, 21, 190, 234, 223, 824, 989, 179, 100, 202 }
31: { 393, 94, 821, 204, 239, 322, 75, 801, 753, 328 }
32: { 589, 521, 306, 221, 700, 320, 696, 413, 786, 327 }
33: { 747, 296, 162, 845, 575, 448, 966, 414, 26, 44 }
34: { 20, 355, 718, 715, 404, 892, 686, 182, 551, 827 }
35: { 447, 817, 325, 683, 933, 882, 510, 487, 245, 574 }
36: { 364, 195, 323, 891, 851, 495, 414, 858, 101, 572 }
37: { 796, 503, 180, 160, 993, 930, 125, 193, 632, 520 }
38: { 797, 969, 618, 351, 22, 742, 396, 183, 430, 606 }
39: { 329, 779, 67, 904, 303, 517, 403, 689, 798, 136 }
40: { 652, 972, 241, 621, 225, 982, 424, 367, 801, 695 }
41: { 561, 811, 300, 340, 669, 176, 872, 237, 886, 455 }
42: { 738, 124, 900, 431, 902, 427, 636, 120, 681, 388 }
43: { 496, 840, 735, 312, 702, 837, 425, 833, 112, 505 }
44: { 966, 575, 448, 747, 280, 33, 296, 415, 107, 465 }
45: { 284, 601, 360, 608, 450, 523, 828, 863, 441, 452 }
46: { 876, 471, 466, 47, 760, 251, 841, 501, 754, 815 }
47: { 841, 471, 876, 46, 466, 357, 101, 157, 704, 754 }
48: { 697, 562, 91, 974, 538, 922, 150, 358, 749, 629 }
49: { 736, 435, 258, 685, 69, 844, 956, 453, 924, 995 }
50: { 479, 429, 409, 324, 88, 672, 215, 342, 939, 80 }
51: { 165, 76, 138, 240, 334, 534, 650, 894, 141, 668 }
52: { 726, 56, 987, 169, 547, 890, 362, 614, 54, 873 }
53: { 294, 57, 899, 743, 640, 908, 623, 684, 295, 910 }
54: { 169, 252, 87, 56, 216, 104, 792, 158, 726, 873 }
55: { 214, 723, 385, 783, 819, 761, 635, 161, 28, 264 }
56: { 52, 169, 726, 54, 873, 252, 987, 890, 158, 491 }
57: { 899, 294, 53, 743, 623, 908, 910, 219, 831, 684 }
58: { 109, 375, 822, 183, 563, 135, 197, 38, 962, 645 }
59: { 185, 610, 336, 299, 254, 954, 443, 5, 829, 725 }
60: { 376, 528, 368, 808, 151, 565, 580, 752, 620, 962 }
61: { 852, 354, 205, 386, 269, 525, 265, 527, 727, 920 }
