KNN_SEQ,,,,,microseconds,,,,,Total time,,
filename,number of points,k,nw,,Read time,Knn time,Write time,,,microseconds,seconds,minutes
input_short.csv,1000,10,,,4236,298784,1529,,,300313,0.3,
input_long.csv,10000,10,,,36216,35636625,2904,,,35639529,35.639,0.594
input_huge.csv,20000,10,,,65787,153542845,4699,,,153547544,153.547,2.56
input30k.csv,30000,10,,,92695,356309393,7350,,,356316743,356.316,5.938
,,,,,,,,,,,,
,,,,,,,,,,Total time,,
KNN_STL,,,,,microseconds,,,seconds (Knn),,microseconds,,
input_short.csv,1000,10,1,,4217,329800,,0.329,,334017,,
input_short.csv,1000,10,2,,4185,171339,,0.171,,175524,,
input_short.csv,1000,10,4,,4504,95746,,0.095,,100250,,
input_short.csv,1000,10,8,,4146,64366,,0.064,,68512,,
input_short.csv,1000,10,16,,4129,40600,,0.04,,44729,,
input_short.csv,1000,10,32,,4553,35036,,0.035,,39589,,
input_short.csv,1000,10,64,,4468,41017,,0.041,,45485,,
input_short.csv,1000,10,128,,4464,65641,,0.065,,70105,,
input_short.csv,1000,10,256,,4529,125680,,0.125,,130209,,
input_long.csv,10000,10,1,,36583,36938073,,36.938,,36974656,,
input_long.csv,10000,10,2,,36699,18439707,,18.439,,18476406,,
input_long.csv,10000,10,4,,28345,9482151,,9.482,,9510496,,
input_long.csv,10000,10,8,,36818,4740476,,4.74,,4777294,,
input_long.csv,10000,10,16,,36316,2410066,,2.41,,2446382,,
input_long.csv,10000,10,32,,35979,1250690,,1.25,,1286669,,
input_long.csv,10000,10,64,,36412,710177,,0.71,,746589,,
input_long.csv,10000,10,128,,36208,532702,,0.532,,568910,,
input_long.csv,10000,10,256,,36907,525203,,0.525,,562110,,
input_huge.csv,20000,10,1,,64919,154295476,,154.295,,154360395,,
input_huge.csv,20000,10,2,,66263,77598863,,77.598,,77665126,,
input_huge.csv,20000,10,4,,67080,42568936,,42.568,,42636016,,
input_huge.csv,20000,10,8,,58509,20280353,,20.28,,20338862,,
input_huge.csv,20000,10,16,,67316,10171101,,10.171,,10238417,,
input_huge.csv,20000,10,32,,66458,5117722,,5.117,,5184180,,
input_huge.csv,20000,10,64,,55714,2675023,,2.675,,2730737,,
input_huge.csv,20000,10,128,,58536,2428315,,2.428,,2486851,,
input_huge.csv,20000,10,256,,67152,1649605,,1.649,,1716757,1.716,
